Measurement,Well,Group,Time,OCR,ECAR,PER,plate_id,Protocol,Project,Interval,LOCR,LECAR,Code,sample_id,is.out.p
1,A02,Oligomycin-DB2#10A_1x,1,48.86767071891063,26.32512740850135,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Olig,DB2,Int1,3.889116047345064,3.2705238978374385,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,A03,FCCP-DB2#10A_1x,1,46.05460954216534,28.17431499021195,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,FCCP,DB2,Int1,3.829827856327294,3.338410746949251,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,A04,FCCP-DB2#10A_1x,1,51.536215373249235,27.008110823481747,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,FCCP,DB2,Int1,3.942284771663649,3.296137221762716,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,A05,Glycolysis-DB2#10A_1x,1,49.77331843060583,25.66825370528365,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Glyc,DB2,Int1,3.9074790659663448,3.245254963947402,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,A06,Glycolysis-DB2#10A_1x,1,45.557742578584936,27.77281896801745,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Glyc,DB2,Int1,3.8189805890323916,3.324057807438572,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,A07,Glycolysis-DB2#10A_1y,1,51.28952410000274,25.986619919329453,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Glyc,DB2,Int1,3.9374865227463687,3.257581787072613,10A_1y,10A_1y-DB2 | 16-Oct-18 ,FALSE
1,A08,Glycolysis-DB2#10A_1y,1,42.852207083274834,25.52113756731085,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Glyc,DB2,Int1,3.757757150911617,3.239507033004715,10A_1y,10A_1y-DB2 | 16-Oct-18 ,FALSE
1,A09,FCCP-DB2#10A_1y,1,45.70266757914703,29.291165194163252,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,FCCP,DB2,Int1,3.8221566677315533,3.3772859413445038,10A_1y,10A_1y-DB2 | 16-Oct-18 ,FALSE
1,A10,FCCP-DB2#10A_1y,1,49.647241110861934,27.86177458840385,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,FCCP,DB2,Int1,3.904942822197281,3.3272556629635974,10A_1y,10A_1y-DB2 | 16-Oct-18 ,FALSE
1,A11,Oligomycin-DB2#10A_1y,1,41.45833195621513,25.92093633996365,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Olig,DB2,Int1,3.7246888735937254,3.2550509950586024,10A_1y,10A_1y-DB2 | 16-Oct-18 ,FALSE
1,B01,Oligomycin-DB2#10A_1x,1,30.765249677216534,20.03201592093735,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Olig,DB2,Int1,3.426385795784958,2.9973317896925993,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
1,B02,Oligomycin-DB2#10A_1x,1,51.055684346789135,30.265676028755347,0,PBMC-DB2#10A_1x+DB2#10A_1y 16-Oct-18 ,Olig,DB2,Int1,3.932916887026748,3.4100142660760224,10A_1x,10A_1x-DB2 | 16-Oct-18 ,FALSE
